ObservedDate,County,State,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion,Count2
6/29/2022,Cuyahoga,OH,2022,180,6/29/2022,8/26/2021,0,307,3
7/13/2022,Cuyahoga,OH,2022,194,6/29/2022,8/26/2021,14,321,1
8/5/2022,Cuyahoga,OH,2022,217,6/29/2022,8/26/2021,37,344,1
8/12/2022,Cuyahoga,OH,2022,224,6/29/2022,8/26/2021,44,351,2
8/17/2022,Cuyahoga,OH,2022,229,6/29/2022,8/26/2021,49,356,1
8/18/2022,Cuyahoga,OH,2022,230,6/29/2022,8/26/2021,50,357,1
8/23/2022,Cuyahoga,OH,2022,235,6/29/2022,8/26/2021,55,362,1
8/24/2022,Cuyahoga,OH,2022,236,6/29/2022,8/26/2021,56,363,2
8/25/2022,Cuyahoga,OH,2022,237,6/29/2022,8/26/2021,57,364,1
8/31/2022,Columbiana,OH,2022,243,6/29/2022,8/26/2021,63,370,1
9/3/2022,Cuyahoga,OH,2022,246,6/29/2022,8/26/2021,66,373,1
9/5/2022,Cuyahoga,OH,2022,248,6/29/2022,8/26/2021,68,375,1
9/5/2022,Fairfield,OH,2022,248,6/29/2022,8/26/2021,68,375,1
9/6/2022,Cuyahoga,OH,2022,249,6/29/2022,8/26/2021,69,376,1
9/7/2022,Cuyahoga,OH,2022,250,6/29/2022,8/26/2021,70,377,1
9/9/2022,Cuyahoga,OH,2022,252,6/29/2022,8/26/2021,72,379,1
